imdb_id,principals_id,category
tt0309530,nm0000191,actor
tt0309530,nm0000250,actress
tt0309530,nm0001383,actor
tt0309530,nm0005299,actress
tt0309530,nm0237222,actress
tt0309530,nm0687443,actor
tt0309530,nm0709704,actor
tt0309530,nm0043891,actor
tt0309530,nm0613240,actor
tt0309530,nm0743671,actor
tt0309530,nm0715636,director
tt0309530,nm0013996,writer
tt0309530,nm0236881,writer
tt0197096,nm0001040,actress
tt0197096,nm0000523,actress
tt0197096,nm0001689,actress
tt0197096,nm0729582,actor
tt0197096,nm0816669,actor
tt0197096,nm0138390,actress
tt0197096,nm0891836,actress
tt0197096,nm0520040,actress
tt0197096,nm0553436,actor
tt0197096,nm0948253,actor
tt0197096,nm0149446,director
tt0197096,nm0149446,writer
tt0197096,nm0074488,writer
tt2584384,nm9877392,actor
tt2584384,nm5057169,actress
tt2584384,nm0424060,actress
tt2584384,nm0169806,actor
tt2584384,nm0005377,actor
tt2584384,nm2313103,actress
tt2584384,nm0654295,actor
tt2584384,nm0580351,actor
tt2584384,nm9987228,actor
tt2584384,nm2554070,actor
tt2584384,nm0169806,director
tt2584384,nm9862836,writer
tt2584384,nm0169806,writer
tt0199054,nm0945937,actor
tt0199054,nm0423750,actor
tt0199054,nm0073137,actor
tt0199054,nm0010050,actor
tt0199054,nm0089545,actor
tt0199054,nm0200294,actor
tt0199054,nm0245145,actor
tt0199054,nm0541909,actor
tt0199054,nm0688847,actor
tt0199054,nm0731426,actor
tt0199054,nm0638630,director
tt0199054,nm0638630,writer
tt0199054,nm0945937,writer
tt0198021,nm0000204,actress
tt0198021,nm0289656,actor
tt0198021,nm0000171,actress
tt0198021,nm0000330,actress
tt0198021,nm0000349,actress
tt0198021,nm0116465,actor
tt0198021,nm1020137,actress
tt0198021,nm0202966,actor
tt0198021,nm0696697,actor
tt0198021,nm0396680,actress
tt0198021,nm0931285,director
tt0198021,nm0304665,writer
tt0198021,nm0541632,writer
tt0198021,nm0504819,writer
tt6722726,nm0742655,actor
tt6722726,nm4861659,actor
tt6722726,nm2201027,actor
tt6722726,nm2829737,actress
tt6722726,nm0000413,actress
tt6722726,nm0496934,actor
